"start_station_name","start_lat","start_lng","total_trips"
Wentworth Ave & Cermak Rd,41.853117444121565,-87.63191702460207,9012
Financial Pl & Ida B Wells Dr,41.87503432226151,-87.63310932995769,8962
Orleans St & Chestnut St (NEXT Apts),41.898165998784734,-87.63755057579485,8957
Calumet Ave & 33rd St,41.83487381425732,-87.61792808699555,8953
Jefferson St & Monroe St,41.880349798635656,-87.64274800926866,8916
Dearborn St & Adams St,41.87924105270711,-87.62973467987473,8870
Halsted St & Roosevelt Rd,41.86735689100051,-87.6486360100598,8862
Paulina St & Flournoy St,41.873018522920674,-87.66909162148983,8804
Ogden Ave & Race Ave,41.89179153753419,-87.6587880590153,8797
Sangamon St & Washington Blvd,41.88308553486464,-87.65109883557199,8676
Woodlawn Ave & 55th St,41.79527671593051,-87.59648319338801,8666
Green St & Randolph St*,41.88360089651349,-87.64858395299005,8643
Ashland Ave & Blackhawk St,41.90703453343243,-87.66724526451584,8612
Elston Ave & Cortland St,41.91643841843677,-87.66674921419299,8590
Clinton St & Roosevelt Rd,41.86712450322604,-87.64107173186014,8360
Larrabee St & Armitage Ave,41.91809314451795,-87.64375221712328,8343
Orleans St & Hubbard St,41.88997011579439,-87.63663203624023,8336
Eckhart Park,41.8963793896964,-87.66099729780362,8333
Racine Ave & Congress Pkwy,41.874639162535594,-87.657033695367,8253
Wabash Ave & 16th St,41.86039210806737,-87.62582127953715,8215
Lakefront Trail & Wilson Ave,41.96583432850124,-87.64539412830503,8204
Calumet Ave & 18th St,41.857671951672984,-87.61955308677493,8112
LaSalle St & Washington St,41.882671639820664,-87.63252401674082,8079
Clark St & Bryn Mawr Ave,41.983561440293215,-87.66917944003738,8063
Damen Ave & Division St,41.90324878666247,-87.67845768588624,7974
Fort Dearborn Dr & 31st St,41.83854477817554,-87.60821814123612,7843
Broadway & Argyle St,41.97378064168483,-87.65972741021812,7802
Paulina Ave & North Ave,41.91008245256028,-87.67000490524298,7695
Throop St & Taylor St,41.86890426293554,-87.65912818544692,7688
