"start_station_name","member_casual","start_lat","start_lng","total_trips"
Elston Ave & Cortland St,casual,41.916433368252,-87.66673477236321,3163
Dearborn St & Adams St,casual,41.8792225236338,-87.62973161707862,3106
Larrabee St & Armitage Ave,casual,41.91809239244044,-87.64374764781815,3105
Desplaines St & Jackson Blvd,casual,41.87811382910668,-87.64404819938196,3052
Damen Ave & Division St,casual,41.90326147540102,-87.67846552770874,3038
Wabash Ave & 16th St,casual,41.86038504035858,-87.6258127149177,2974
Franklin St & Adams St (Temp),casual,41.879281692820705,-87.63551941562869,2918
Racine Ave & Wrightwood Ave,casual,41.92889603828709,-87.65898212665753,2917
Loomis St & Lexington St,casual,41.87220440765038,-87.66144327149107,2906
Halsted St & Polk St,casual,41.871824531680815,-87.64664052814958,2882
Ashland Ave & Blackhawk St,casual,41.90705470758754,-87.66724779580315,2880
Sangamon St & Washington Blvd,casual,41.883069436139714,-87.6511072566534,2873
Clinton St & Roosevelt Rd,casual,41.86712286772144,-87.64107261612696,2869
Aberdeen St & Monroe St,casual,41.88042779509902,-87.65561558161853,2868
Sheridan Rd & Buena Ave,casual,41.95849579139354,-87.65500779018261,2824
Western Ave & Walton St,casual,41.89843001594139,-87.68659872427905,2812
Damen Ave & Thomas St (Augusta Blvd),casual,41.901334834659835,-87.67743816903786,2808
Eckhart Park,casual,41.89638885626982,-87.66100279051324,2800
Ogden Ave & Race Ave,casual,41.89179627558574,-87.65880278115007,2799
Marine Dr & Ainslie St,casual,41.97160333748877,-87.65018119350347,2797
Lincoln Ave & Belmont Ave (Temp),casual,41.93949382641254,-87.67108738464174,2779
Clark St & Bryn Mawr Ave,casual,41.983558935598886,-87.66920071684655,2774
California Ave & Cortez St,casual,41.90038721827609,-87.69671894262528,2768
Larrabee St & North Ave,casual,41.910110300295415,-87.64351097211991,2760
Walsh Park,casual,41.91457702713303,-87.667964380506,2750
Morgan St & Polk St,casual,41.87190189020288,-87.65107397877533,2740
Southport Ave & Irving Park Rd,casual,41.95416131732939,-87.66431174948845,2712
Delano Ct & Roosevelt Rd,casual,41.8674910462375,-87.63219250001589,2688
Greenview Ave & Diversey Pkwy,casual,41.93262381744117,-87.66595892376672,2686
Broadway & Argyle St,casual,41.97377159161333,-87.65974587901184,2671
Broadway & Granville Ave,casual,41.99475821648557,-87.66033029452494,2657
Orleans St & Hubbard St,casual,41.88996045805505,-87.63662710737003,2626
Museum of Science and Industry,casual,41.79173707010138,-87.583947193459,2621
Cornell Ave & Hyde Park Blvd,casual,41.802419285582744,-87.58690235275155,2607
Clark St & Montrose Ave,casual,41.961562430265055,-87.66614828738217,2590
Ashland Ave & Grace St,casual,41.95067990283286,-87.66870352662016,2583
Leavitt St & North Ave,casual,41.91034416645438,-87.68237342480477,2578
Ada St & Washington Blvd,casual,41.88283567653376,-87.66120097117276,2576
N Green St & W Lake St,casual,41.88986032436459,-87.64994994187462,2573
LaSalle St & Washington St,casual,41.882666464408665,-87.63254313195532,2559
Woodlawn Ave & 55th St,casual,41.79529669636866,-87.59650994708667,2544
Lake Park Ave & 53rd St,casual,41.79958274509148,-87.58646882648029,2543
Damen Ave & Charleston St,casual,41.92007320661151,-87.6779134420492,2533
Broadway & Thorndale Ave,casual,41.98975194595457,-87.66013422136307,2521
Wacker Dr & Washington St,casual,41.88316670627334,-87.6372928698971,2515
Financial Pl & Ida B Wells Dr,casual,41.87505380171508,-87.6331195997925,2512
Sheridan Rd & Noyes St (NU),casual,42.058186261152265,-87.67743914005555,2511
May St & Taylor St,casual,41.869486164241415,-87.65548336880599,2493
Noble St & Milwaukee Ave,casual,41.90069646645337,-87.66258802835436,2462
Campbell Ave & North Ave,casual,41.9105349420748,-87.68956443951951,2441
Broadway & Wilson - Truman College Vaccination Site,casual,41.96520809821444,-87.65823550006067,2431
Jefferson St & Monroe St,casual,41.88034412852131,-87.64274096953122,2415
Ashland Ave & Wrightwood Ave,casual,41.92882654009526,-87.66853262838397,2405
Broadway & Berwyn Ave,casual,41.97835292075667,-87.65976171900628,2398
Western Ave & Leland Ave,casual,41.96642559700417,-87.68869475499328,2386
Dearborn St & Van Buren St,casual,41.87625512230084,-87.62924156738617,2381
Canal St & Taylor St,casual,41.870211527956194,-87.63947529150087,2379
Lake Park Ave & 56th St,casual,41.79325396113337,-87.5877965784726,2379
Seeley Ave & Roscoe St,casual,41.94339313457476,-87.67964908955477,2373
Calumet Ave & 21st St,casual,41.85414745397861,-87.619165309678,2344
Fairbanks St & Superior St,casual,41.89576002178516,-87.62012846122937,2337
Racine Ave & 18th St,casual,41.85819493581953,-87.65647315271514,2328
Lincoln Ave & Roscoe St*,casual,41.94334911857782,-87.67074083332764,2319
Clarendon Ave & Leland Ave,casual,41.96794542929628,-87.65000721896797,2315
Winthrop Ave & Lawrence Ave,casual,41.968836627577794,-87.65764925134602,2294
Damen Ave & Wellington Ave,casual,41.93588277910936,-87.67843443293131,2274
State St & Pearson St,casual,41.89744509177955,-87.62873863055471,2272
Western Ave & Division St,casual,41.90289753758728,-87.68732115860327,2272
Ashland Ave & Lake St,casual,41.88594872915901,-87.66718630887289,2252
Wood St & Chicago Ave,casual,41.89562773999027,-87.67210714468054,2245
Benson Ave & Church St,casual,42.04822026855473,-87.6834781298958,2212
Broadway & Ridge Ave,casual,41.98403141727965,-87.66028439208335,2201
Green St & Washington Blvd,casual,41.88319437679622,-87.6487510313587,2173
Humboldt Blvd & Armitage Ave,casual,41.91751957140675,-87.70181446901438,2169
Chicago Ave & Sheridan Rd,casual,42.05048774620207,-87.67781887270611,2162
Blue Island Ave & 18th St,casual,41.85750037961386,-87.66158688610729,2154
Wolcott (Ravenswood) Ave & Montrose Ave,casual,41.96142959535387,-87.67622111154158,2124
Sheridan Rd & Lawrence Ave,casual,41.96950555337339,-87.6547117168211,2121
Milwaukee Ave & Rockwell St,casual,41.92024527744567,-87.69268425764156,2112
Ashland Ave & Wellington Ave,casual,41.93603713251607,-87.66986210934374,2111
Spaulding Ave & Armitage Ave,casual,41.91712547837792,-87.71023601491908,2086
Clark St & Ida B Wells Dr,casual,41.875966994978775,-87.63070219894944,2071
Leavitt St & Armitage Ave,casual,41.917757982679426,-87.68246585136502,2053
Clybourn Ave & Division St,casual,41.904599647481064,-87.64056898613933,2038
Clark St & 9th St (AMLI),casual,41.87080941496449,-87.6311995082024,2021
Morgan St & Lake St*,casual,41.8855002258611,-87.65231533511266,2003
Logan Blvd & Elston Ave,casual,41.929453559258214,-87.68416787331593,1999
Lincoln Ave & Sunnyside Ave,casual,41.9630204680669,-87.68480529315075,1998
Albany Ave & Bloomingdale Ave,casual,41.91400977039276,-87.7051433404064,1987
Ravenswood Ave & Irving Park Rd,casual,41.95464379074253,-87.67389677405798,1983
Racine Ave & Randolph St,casual,41.884072650236405,-87.65690088094466,1976
Ashland Ave & Grand Ave,casual,41.89107920951767,-87.66665787562016,1962
Ashland Ave & Augusta Blvd,casual,41.89957876249914,-87.66805997441631,1943
Morgan St & 18th St,casual,41.858131263213295,-87.65110824563062,1923
Leavitt St & Belmont Ave,casual,41.93934742573726,-87.68326386414152,1890
Halsted St & Roosevelt Rd,casual,41.86736331518561,-87.64863566778797,1880
Morgan St & Lake St,casual,41.88581032546987,-87.65104093707794,1880
Larrabee St & Oak St,casual,41.90023587565734,-87.64299074012295,1866
Sheridan Rd & Argyle St,casual,41.97330469037372,-87.65471757175465,1865
Ashland Ave & Chicago Ave,casual,41.89546294934912,-87.6677222439846,1843
Leavitt St & Chicago Ave,casual,41.895486623701345,-87.68198835782307,1835
California Ave & Division St,casual,41.903024912702115,-87.69749557018137,1834
Lincoln Ave & Belle Plaine Ave,casual,41.95601468446193,-87.68022793609764,1827
Damen Ave & Leland Ave,casual,41.96707018189478,-87.67906633082254,1822
Sheridan Rd & Loyola Ave,casual,42.0010822117003,-87.66123348067987,1815
Damen Ave & Grand Ave,casual,41.89246671726173,-87.67690123690986,1801
Wood St & Augusta Blvd,casual,41.89917515773948,-87.6721968548133,1799
Leavitt St & Division St,casual,41.90299764793847,-87.6837857585401,1783
California Ave & North Ave,casual,41.91046220993093,-87.69701098955481,1773
Racine Ave & Washington Blvd,casual,41.88310309371228,-87.65699886209109,1762
California Ave & Francis Pl (Temp),casual,41.91852529048836,-87.69744524837529,1758
LaSalle St & Adams St,casual,41.87939696640004,-87.63195035719616,1753
Sedgwick St & Schiller St,casual,41.907622051078825,-87.63852408856954,1744
Damen Ave & Clybourn Ave,casual,41.93190962642699,-87.67782720278497,1726
Ellis Ave & 58th St,casual,41.788724981524076,-87.60130426973026,1723
Larrabee St & Menomonee St,casual,41.91468102753575,-87.64335589984596,1712
Wabash Ave & Cermak Rd,casual,41.852616207584084,-87.62652353713305,1708
Orleans St & Elm St,casual,41.90291287837487,-87.63771631673521,1706
MLK Jr Dr & 29th St,casual,41.84197818138833,-87.61699866015778,1704
Kedzie Ave & Palmer Ct,casual,41.921500599526084,-87.70730491899162,1696
Lincoln Ave & Addison St,casual,41.946183339754676,-87.67330667795649,1571
Damen Ave & Melrose Ave,casual,41.94049236135089,-87.67857307871297,1560
Stave St & Armitage Ave,casual,41.9177320172037,-87.69142378771421,1551
Lincoln Ave & Waveland Ave,casual,41.9487996702525,-87.67526984143602,1541
Damen Ave & Foster Ave,casual,41.975624814963574,-87.67945440882606,1539
Throop St & Taylor St,casual,41.868886598146,-87.65911894521552,1534
Paulina St & 18th St,casual,41.85790106144275,-87.66864744724153,1519
Loomis St & Jackson Blvd,casual,41.87793846528085,-87.66200479814546,1514
Wood St & Hubbard St,casual,41.88988561388684,-87.67149484289212,1498
Buckingham Fountain (Temp),casual,41.869654207456215,-87.62398013552676,1493
California Ave & Fletcher St,casual,41.93843397766134,-87.69801618216998,1489
Troy St & North Ave,casual,41.90979894043998,-87.70531813951447,1482
Blackstone Ave & Hyde Park Blvd,casual,41.802650986801915,-87.59043096928394,1480
State St & 33rd St,casual,41.83464495640105,-87.62579573816726,1456
Racine Ave & Congress Pkwy,casual,41.874636816693005,-87.65703369727707,1451
Ellis Ave & 53rd St,casual,41.79934801262719,-87.60096851757788,1450
Milwaukee Ave & Fullerton Ave,casual,41.92024334295859,-87.70003059939052,1450
Central Park Ave & Bloomingdale Ave,casual,41.914162809414805,-87.71676165010824,1422
Broadway & Wilson Ave,casual,41.96522371717268,-87.65825660830137,1396
Paulina St & Montrose Ave,casual,41.96147888504213,-87.67143589190329,1386
Glenwood Ave & Morse Ave,casual,42.007964925717324,-87.665475132404,1383
Campbell Ave & Fullerton Ave,casual,41.92464353041573,-87.68931102903211,1380
California Ave & Altgeld St,casual,41.926677585414225,-87.69770036576456,1362
Ashland Ave & Belle Plaine Ave,casual,41.95607490750036,-87.66886269330134,1347
Wolcott Ave & Polk St,casual,41.87135283506017,-87.67372124746707,1340
Clinton St & Tilden St,casual,41.87587851447716,-87.64075810269453,1336
Wilton Ave & Diversey Pkwy*,casual,41.932427477404914,-87.65271547006513,1325
Damen Ave & Sunnyside Ave,casual,41.96325543758691,-87.67929257307482,1311
Paulina St & Flournoy St,casual,41.873005219290874,-87.66908095864798,1310
Southport Ave & Clark St,casual,41.95709193049546,-87.66419934052766,1291
St. Louis Ave & Fullerton Ave,casual,41.92485136634479,-87.71449107044609,1272
Wells St & 19th St,casual,41.85679559836925,-87.63386865898248,1270
Chicago Ave & Washington St,casual,42.032397589888014,-87.67915701179943,1263
Talman Ave & Addison St,casual,41.946641989755,-87.69462655422636,1249
Central Park Ave & Elbridge Ave,casual,41.93534592891859,-87.71686192693268,1235
Elston Ave & Wabansia Ave,casual,41.91298301147713,-87.66419003538263,1223
Damen Ave & Madison St,casual,41.881393552302434,-87.674921084431,1206
Greenview Ave & Jarvis Ave,casual,42.0159716087891,-87.66859965577612,1201
Halsted St & 18th St,casual,41.85745975618835,-87.64607352521602,1192
Clinton St & 18th St,casual,41.857997858396686,-87.64092015614486,1187
Clark St & Lunt Ave,casual,42.00904160435303,-87.67420120097641,1186
Morgan Ave & 14th Pl,casual,41.86239500033802,-87.65109986921883,1182
University Library (NU),casual,42.052937095123646,-87.67340119238567,1178
Bissell St & Armitage Ave,casual,41.91799205793702,-87.65215996184763,1171
Emerald Ave & 31st St,casual,41.83820914870512,-87.64513277283186,1157
Richmond St & Diversey Ave,casual,41.93191688544538,-87.7012269487859,1156
Leavitt St & Addison St,casual,41.94662936714263,-87.68337030128966,1151
Winchester Ave & Elston Ave,casual,41.924083888291094,-87.6764506594248,1150
Hampden Ct & Diversey Ave,casual,41.93012997902666,-87.6401391328433,1148
Sheridan Rd & Columbia Ave,casual,42.00457378297438,-87.66144959214994,1147
Damen Ave & Walnut (Lake) St,casual,41.88595361332749,-87.67702081062873,1141
State St & 19th St,casual,41.856580381495874,-87.62754803269067,1140
Racine Ave & 15th St,casual,41.861251543029695,-87.65655671657807,1137
Western Ave & Roscoe St,casual,41.94304601925011,-87.68729634793905,1132
W Oakdale Ave & N Broadway,casual,41.939808223711786,-87.6401763197049,1128
California Ave & Montrose Ave,casual,41.96108360137669,-87.69543860254407,1123
Laflin St & Cullerton St,casual,41.85487171638957,-87.6636329040311,1118
Clark St & Elmdale Ave,casual,41.99055695591833,-87.6698134906492,1108
Claremont Ave & Hirsch St,casual,41.907769659638916,-87.6858672504251,1097
Lake Park Ave & 35th St,casual,41.83127103173604,-87.6087996610511,1095
Kimball Ave & Belmont Ave,casual,41.93940363911667,-87.71174879689116,1086
Halsted St & Archer Ave,casual,41.84723349565465,-87.64685807232928,1075
Ravenswood Ave & Berteau Ave,casual,41.957831632809956,-87.67359641708515,1070
Harper Ave & 59th St,casual,41.78795507576209,-87.58831867414914,1063
Artesian Ave & Hubbard St,casual,41.88954063263194,-87.68815656250446,1057
Damen Ave & Cullerton St,casual,41.85496730292083,-87.67565371827567,1051
Morgan St & 31st St,casual,41.83778758613628,-87.65115671390174,1037
Kosciuszko Park,casual,41.930560294259884,-87.72380726779993,1026
Racine Ave & Fullerton Ave (Temp),casual,41.92516807622164,-87.65728842707733,1023
